State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,Region,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
08,04101,0804101,G08004101,Colorado,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City,08,02101,0802101,G08002101,Colorado,Central Mountain,2,111548,110850,0,0,0,141822,116725,0,0,0,6010002369,23045265831,256957,0,0
08,00900,0800900,G08000900,Colorado,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",08,02200,0802200,G08002200,Colorado,Southwest Colorado,2,107883,107883,107883,100,100,115583,115583,115583,100,100,28179602961,28179525263,28179524955,100,100
08,00700,0800700,G08000700,Colorado,Pueblo County (North)--Pueblo City & Pueblo West,08,02301,0802301,G08002301,Colorado,Pueblo,3,150830,147311,147311,97.67,100,160087,156202,156202,97.57,100,3299639434,2424567557,2424567557,73.48,100
08,01001,0801001,G08001001,Colorado,Mesa County (Central)--Greater Grand Junction & Fruita Cities,08,02401,0802401,G08002401,Colorado,West Central Colorado,1,128898,99753,0,0,0,137233,103189,0,0,0,345940722,21738686450,994594,0.29,0
08,01002,0801002,G08001002,Colorado,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties",08,02401,0802401,G08002401,Colorado,West Central Colorado,1,101848,99753,99753,97.94,100,105291,103189,103189,98,100,21770563817,21738686450,21737664965,99.85,100
08,01001,0801001,G08001001,Colorado,Mesa County (Central)--Greater Grand Junction & Fruita Cities,08,02501,0802501,G08002501,Colorado,Mesa,1,128898,130993,128898,100,98.4,137233,139335,137233,100,98.49,345940722,377711390,344946128,99.71,91.33
08,01002,0801002,G08001002,Colorado,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties",08,02501,0802501,G08002501,Colorado,Mesa,1,101848,130993,2095,2.06,1.6,105291,139335,2102,2,1.51,21770563817,377711390,32765262,0.15,8.67
08,00200,0800200,G08000200,Colorado,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",49,13000,4913000,G49013000,Utah,Southeast Utah & Uintah Basin Region,1,100359,132127,0,0,0,106335,145363,0,0,0,34378624020,69996307707,1207,0,0
08,00900,0800900,G08000900,Colorado,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",49,13000,4913000,G49013000,Utah,Southeast Utah & Uintah Basin Region,2,107883,132127,0,0,0,115583,145363,0,0,0,28179602961,69996307707,71361,0,0
08,01002,0801002,G08001002,Colorado,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties",49,13000,4913000,G49013000,Utah,Southeast Utah & Uintah Basin Region,1,101848,132127,0,0,0,105291,145363,0,0,0,21770563817,69996307707,133590,0,0
