"YEAR","REGION","OWNERSHP","VACANCY","vac","vac_se","vac_moe"
"2016","1","Rented","Occupied",45860,3071.193046005847,5052.112560679619
"2016","1","Vacant","Other vacant",7551,1406.666309484039,2313.9660791012443
"2016","1","Vacant","Rented or sold but not (yet) occupied",627,354.2704606299168,582.7749077362131
"2016","2","Vacant","For migrant farm workers",116,115.99999999999962,190.81999999999937
"2016","2","Vacant","For rent or sale",4773,971.0506720885737,1597.3783555857037
"2016","2","Vacant","For sale only",3746,901.9350813813953,1483.6832088723954
"2016","2","Vacant","For seasonal, recreational or other occasional use",71097,3677.50606886481,6049.497483282613
"2016","2","Owned or being bought (loan)","Occupied",91904,3764.0251464216108,6191.8213658635495
"2016","2","Rented","Occupied",36361,2544.59889300275,4185.865178989524
"2016","2","Vacant","Other vacant",6214,1087.7958719774033,1789.4242094028284
"2016","2","Vacant","Rented or sold but not (yet) occupied",1961,684.6872615937141,1126.3105453216597
"2016","3","Vacant","For migrant farm workers",500,354.67547175620825,583.4411510389626
"2016","3","Vacant","For rent or sale",23153,2404.6903666632415,3955.7156531610326
"2016","3","Vacant","For sale only",9911,1553.9314713651734,2556.2172703957103
"2016","3","Vacant","For seasonal, recreational or other occasional use",25776,2375.968090192019,3908.4675083658717
"2016","3","Owned or being bought (loan)","Occupied",1134072,9357.173758281864,15392.550832373667
"2016","3","Rented","Occupied",630646,9875.531256349905,16245.248916695593
"2016","3","Vacant","Other vacant",26356,2446.5339382254097,4024.548328380799
"2016","3","Vacant","Rented or sold but not (yet) occupied",14313,1946.3779625611025,3201.791748413014
"2016","4","Vacant","For rent or sale",1989,594.9445426313321,978.6837726285413
"2016","4","Vacant","For sale only",675,202.97113922143336,333.8875240192579
"2016","4","Vacant","For seasonal, recreational or other occasional use",6132,766.8387643858116,1261.44976741466
"2016","4","Owned or being bought (loan)","Occupied",55756,2427.4638402709916,3993.178017245781
"2016","4","Rented","Occupied",27171,2020.4056535019538,3323.567300010714
"2016","4","Vacant","Other vacant",6820,918.9818899619639,1511.7252089874307
"2016","4","Vacant","Rented or sold but not (yet) occupied",509,198.00404137760435,325.71664806615917
"2017","1","Vacant","For migrant farm workers",169,119.50063319148508,196.57854159999295
"2017","1","Vacant","For rent or sale",2649,772.9565794303456,1271.5135731629186
"2017","1","Vacant","For sale only",1904,601.9744314465281,990.2479397295388
"2017","1","Vacant","For seasonal, recreational or other occasional use",12947,1493.1829603498948,2456.285969775577
"2017","1","Owned or being bought (loan)","Occupied",92482,3572.708527426045,5877.105527615844
"2017","1","Rented","Occupied",41448,2813.2847317261194,4627.853383689467
"2017","1","Vacant","Other vacant",6133,1263.7955242158723,2078.94363733511
"2017","1","Vacant","Rented or sold but not (yet) occupied",1423,553.8528425102307,911.0879259293296
"2017","2","Vacant","For migrant farm workers",158,158.0000000000009,259.9100000000015
"2017","2","Vacant","For rent or sale",5174,934.18645356341,1536.7367161118095
"2017","2","Vacant","For sale only",2531,794.4765018304543,1306.9138455110972
"2017","2","Vacant","For seasonal, recreational or other occasional use",76456,3803.0154133288424,6255.9603549259455
"2017","2","Owned or being bought (loan)","Occupied",92975,3707.608593300206,6099.016135978839
"2017","2","Rented","Occupied",35795,2622.846523277443,4314.582530791394
"2017","2","Vacant","Other vacant",8260,1283.848465286224,2111.930725395838
"2017","2","Vacant","Rented or sold but not (yet) occupied",1439,564.7615098711187,929.0326837379903
"2017","3","Vacant","For rent or sale",29437,2647.2835317336444,4354.781409701845
"2017","3","Vacant","For sale only",9736,1490.3527670126098,2451.630301735743
"2017","3","Vacant","For seasonal, recreational or other occasional use",28383,2582.412182152775,4248.068039641315
"2017","3","Owned or being bought (loan)","Occupied",1161766,9528.269968887775,15674.00409882039
"2017","3","Rented","Occupied",631646,9792.891501462562,16109.306519905915
"2017","3","Vacant","Other vacant",27321,2526.971070664614,4156.86741124329
"2017","3","Vacant","Rented or sold but not (yet) occupied",13759,1843.5349948849678,3032.615066585772
"2017","4","Vacant","For migrant farm workers",179,112.86359374754603,185.66061171471324
"2017","4","Vacant","For rent or sale",2210,554.2383312101965,911.7220548407732
"2017","4","Vacant","For sale only",919,305.50860439202944,502.56165422488846
"2017","4","Vacant","For seasonal, recreational or other occasional use",6487,808.9093379774007,1330.6558609728243
"2017","4","Owned or being bought (loan)","Occupied",52829,2307.4303499012253,3795.722925587516
"2017","4","Rented","Occupied",30263,2229.5662013193237,3667.6364011702876
"2017","4","Vacant","Other vacant",8397,1064.5894185006973,1751.249593433647
"2017","4","Vacant","Rented or sold but not (yet) occupied",220,104.40511459959777,171.74641351633832
"2018","1","Vacant","For migrant farm workers",89,89.00000000000018,146.4050000000003
"2018","1","Vacant","For rent or sale",2439,707.0913845855538,1163.165327643236
"2018","1","Vacant","For sale only",2470,764.0971195376961,1256.9397616395102
"2018","1","Vacant","For seasonal, recreational or other occasional use",15769,1706.086513317576,2806.5123144074123
"2018","1","Owned or being bought (loan)","Occupied",93105,3707.0896382214155,6098.162454874228
"2018","1","Rented","Occupied",40265,2856.662093265322,4699.209143421454
"2018","1","Vacant","Other vacant",7153,1325.7091702963792,2180.7915851375437
"2018","1","Vacant","Rented or sold but not (yet) occupied",531,321.1816058360018,528.343741600223
"2018","2","Vacant","For rent or sale",6945,1109.7008923780131,1825.4579679618316
"2018","2","Vacant","For sale only",1844,624.4980514414167,1027.2992946211305
"2018","2","Vacant","For seasonal, recreational or other occasional use",76985,3862.208696150905,6353.333305168238
"2018","2","Owned or being bought (loan)","Occupied",93917,3841.740861546654,6319.663717244246
"2018","2","Rented","Occupied",34503,2773.090152797886,4561.733301352522
"2018","2","Vacant","Other vacant",9041,1328.0119703835037,2184.5796912808637
"2018","2","Vacant","Rented or sold but not (yet) occupied",924,358.82041609501704,590.2595844763031
"2018","3","Vacant","For migrant farm workers",195,194.99999999999892,320.7749999999982
"2018","3","Vacant","For rent or sale",29682,2612.7176166885124,4297.920479452603
"2018","3","Vacant","For sale only",10272,1553.4126426303617,2555.363797126945
